Pos.,Player,Year,Fee,From.Club,To.Club
1,Neymar,2017,222,Barcelona , PSG
2,Kylian Mbappe,2017,145,Monaco , PSG
3,Joao Felix,2019,126,Benfica , Atletico Madrid
4,Enzo Fernandez,2023,121,Benfica , Chelsea
5,Philippe Coutinho,2018,120,Liverpool , Barcelona
5,Antoine Griezmann,2019,120,Atletico Madrid , Barcelona
7,Jack Grealish,2021,117,Aston Villa , Manchester City
8,Romelu Lukaku,2021,115,Inter , Chelsea
9,Ousmane Dembele,2017,105,Borussia Dortmund , Barcelona
9,Paul Pogba,2016,105,Juventus , Manchester United
11,Gareth Bale,2013,100.8,Tottenham , Real Madrid
12,Cristiano Ronaldo,2018,100,Real Madrid , Juventus
12,Eden Hazard,2019,100,Chelsea , Real Madrid
12,Mykhailo Mudryk,2023,100,Shakhtar Donetsk , Chelsea
14,Antony,2022,95,Ajax , Manchester United
15,Cristiano Ronaldo,2009,94,Manchester United , Real Madrid
16,Gonzalo Higuain,2016,90,Napoli , Juventus
17,Harry Maguire,2019,87.1,Leicester City , Manchester United
18,Neymar,2013,86.2,Santos , Barcelona
19,Jadon Sancho,2021,85,Borussia Dortmund , Manchester United
20,Romelu Lukaku,2017,84.8,Everton  , Manchester United
21,Virgil van Dijk,2018,84.5,Southampton  , Liverpool
22,Luis Suarez,2014,82.3,Liverpool , Barcelona
23,Wesley Fofana,2022,80.6,Leicester City , Chelsea
24,Aurelien Tchouameni,2022,80,Monaco , Real Madrid
24,James Rodriguez,2014,80,Monaco , Real Madrid
24,Kepa Arrizabalaga,2018,80,Athletic Club , Chelsea
24,Lucas Hernandez,2019,80,Atletico Madrid ,  Bayern Munich
24,Romelu Lukaku,2019,80,Manchester United , Inter
29,Nicolas Pepe,2019,79,Lille , Arsenal
30,Alvaro Morata,2017,78.9,Real Madrid , Chelsea
31,Zinedine Zidane,2001,77.5,Juventus , Real Madrid
32,Darwin Nunez,2022,75,Benfica , Liverpool
32,Matthijs de Ligt,2019,75,Ajax  , Juventus
32,Kevin De Bruyne,2015,75,Wolfsburg  ,  Manchester City
32,Frenkie de Jong,2019,75,Ajax , Barcelona
32,Dusan Vlahovic,2022,75,Fiorentina , Juventus
37,Angel Di Maria,2014,74.6,Real Madrid , Manchester United
38,Alisson Becker,2018,73,Roma  , Liverpool
39,Arthur Melo,2020,,Barcelona , Juventus
40,Casemiro,2022,71,Real Madrid , Manchester United
41,Kai Havertz,2020,70,Bayer Leverkusen , Chelsea
41,Luka Jovic,2019,70,Eintracht Frankfurt , Real Madrid
41,Rodri,2019,70,Atletico Madrid , Manchester City
41,Mykhailo Mudryk,2023,70,Shakhtar Donetsk , Chelsea
44,Zlatan Ibrahimovic,2009,69.5,Inter  , Barcelona
45,Raheem Sterling,2015,69.1,Liverpool , Manchester City
46,Ruben Dias,2020,68,Benfica , Manchester City
47,Riyad Mahrez,2019,67.8,Leicester City  , Manchester City
48,Matthijs de Ligt,2022,67,Juventus , Bayern Munich
49,Diego Costa,2018,66,Chelsea , Atletico Madrid
50,Marc Cucurella,2022,65.1,Brighton , Chelsea
51,Alexander Isak,2022,65,Real Sociedad , Newcastle United
51,Thomas Lemar,2018,65,Monaco , Atletico Madrid
51,Kaka,2009,65,AC Milan  , Real Madrid
51,Aymeric Laporte,2018,65,Athletic Club , Manchester City
51,Joao Cancelo,2019,65,Juventus , Manchester City
56,Edinson Cavani,2013,64.5,Napoli , PSG
57,Christian Pulisic,2019,64,Borussia Dortmund , Chelsea
58,Pierre-Emerick Aubameyang,2018,63.75,Borussia Dortmund , Arsenal
59,David Luiz,2014,62.5,Chelsea , PSG
60,Angel Di Maria,2015,61.6,Manchester United , PSG
61,Oscar,2017,60.3,Chelsea , Shanghai SIPG
62,Achraf Hakimi,2021,,Inter , PSG
62,Miralem Pjanic,2020,,Juventus , Barcelona
62,Erling Haaland,2022,60,Borussia Dortmund  , Manchester City
62,Naby Keita,2018,60,RB Leipzig  , Liverpool
62,Luis Figo,2000,60,Barcelona , Real Madrid
62,Tanguy Ndombele,2019,60,Lyon  , Tottenham
68,Raphinha,2022,59,Leeds United , Barcelona
68,Fernando Torres,2011,59,Liverpool , Chelsea
70,Fred,2018,58.9,Shakhtar Donetsk  , Manchester United
70,Jorginho,2018,58.9,Napoli , Chelsea
70,Hulk,2016,58.6,Zenit , Shanghai SIPG
70,Ben White,2021,58.6,Brighton , Arsenal
74,Benjamin Mendy,2017,58.2,Monaco , Manchester City
75,Richarlison,2022,58,Everton  , Tottenham
75,John Stones,2016,58,Everton  , Manchester City
77,Kyle Walker,2017,56.7,Tottenham , Manchester City
78,Raheem Sterling,2022,56.2,Manchester City , Chelsea
79,Ben Chilwell,2020,55.8,Leicester City , Chelsea
80,Lisandro Martinez,2022,55.3,Ajax , Manchester United
81,Bruno Fernandes,2020,55,Sporting C.P. , Manchester United
81,Hernan Crespo,2000,55,Parma  ,  Lazio
81,Ferran Torres,2021,55,Manchester City , Barcelona
84,Alexandre Lacazette,2017,53,Lyon , Arsenal
84,Timo Werner,2020,53,RB Leipzig , Chelsea
86,Gabriel Jesus,2022,52.3,Manchester City , Arsenal
87,Gianluigi Buffon,2001,52,Parma , Juventus
88,Eliaquim Mangala,2014,51.7,Porto , Manchester City
89,Jules Kounde,2022,50,Sevilla , Barcelona
90,Alex Teixeira,2016,50,Shakhtar Donetsk , Jiangsu Suning
90,Bernardo Silva,2017,50,Monaco , Manchester City
90,Fabinho,2018,50,Monaco , Liverpool
90,Eder Militao,2019,50,Porto , Real Madrid
90,Aaron Wan-Bissaka,2019,50,Crystal Palace  , Manchester United
90,Thomas Partey,2020,50,Atletico Madrid  , Arsenal
90,Victor Osimhen,2020,50,Lille , Napoli
97,Anthony Martial,2015,49.3,Monaco , Manchester United
98,Gylfi Sigurdsson,2017,49.2,Swansea City  , Everton
99,Leroy Sane,2020,49,Manchester City , Bayern Munich
99,Christian Vieri,1999,49,Lazio , Inter
